# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
mo suo 	摸索	c=1 d=1 t=5683
mo wei 	末尾	c=1 d=1 t=23994
mo yu 	摸鱼	c=1 d=1 t=20679
mou 	某	c=2 d=0.1 t=30159
mou yi 	某一	c=0 d=0.1 t=10306
mou yi lie 	某一列	c=1 d=1 t=10307
mu 	亩	c=1 d=1 t=15632
mu 	木	c=8 d=1.00039 t=27082
mu 	模	c=1 d=1 t=4340
mu 	目	c=1 d=1 t=14646
mu 	𬭁	c=1 d=1 t=4673
mu ban 	模板	c=4 d=0.185444 t=31502
mu biao 	目标	c=4 d=2.11962 t=24727
mu di 	目的	c=3 d=0.379083 t=31502
mu ji 	母鸡	c=5 d=1.14717 t=23978
mu lu 	目录	c=5 d=0.0135009 t=31502
mu lv 	目绿	c=1 d=1 t=17447
mu qian 	目前	c=9 d=1.25032 t=29777
mu you 	木有	c=4 d=0.0280154 t=31502
mu yu 	木鱼	c=2 d=1.67032 t=7923
n 	嗯	c=14 d=0.150237 t=30159
n chen 	嗯陈	c=2 d=1 t=23902
n chuai 	嗯踹	c=1 d=1 t=17821
n gu biao ge 	嗯骨表格	c=1 d=1 t=18989
n pian 	嗯篇	c=1 d=1 t=3129
n shuang 	嗯双	c=1 d=1 t=12856
na 	哪	c=24 d=1.08544 t=27147
na 	拿	c=13 d=1 t=29831
na 	那	c=88 d=0.522716 t=31502
na bian 	哪边	c=3 d=1 t=20835
na bian 	那边	c=25 d=0.10383 t=31502
na er 	哪儿	c=1 d=1 t=22087
na ge 	哪个	c=27 d=1.68026 t=25988
na ge 	那个	c=10 d=1.97531 t=25884
na jie 	娜姐	c=5 d=1.00003 t=28342
na lai 	拿来	c=1 d=0.271187 t=24125
na li 	哪里	c=17 d=1.65383 t=25265
na me 	那么	c=7 d=0.856424 t=31502
na me da 	那么大	c=1 d=1 t=17618
na me jiu 	那么久	c=2 d=0.0177743 t=31502
na n 	那嗯	c=1 d=0.0151463 t=31502
na shi 	那是	c=2 d=0.683861 t=31502
na tian 	哪天	c=6 d=1 t=27947
na wei 	哪位	c=1 d=1 t=9384
na xie 	哪些	c=1 d=1 t=22462
na xie 	那些	c=1 d=1 t=10758
na yi ban 	哪一般	c=1 d=1 t=16640
na zhang 	那张	c=1 d=0.496585 t=31502
na zhong 	哪种	c=3 d=1.01481 t=31071
na zhong 	那种	c=1 d=1 t=26972
nai 	奶	c=1 d=1 t=27687
nai 	耐	c=2 d=1.00001 t=4404
nai cha 	奶茶	c=1 d=1 t=8175
nai kan 	耐看	c=1 d=1 t=29439
nan 	南	c=2 d=0.956415 t=11800
nan 	男	c=4 d=1.66036 t=16527
nan 	难	c=7 d=1.00001 t=30948
nan bu nan 	南不难	c=1 d=1 t=11801
nan dao 	难道	c=3 d=1 t=14479
nan ji 	难记	c=1 d=1 t=24019
nan jing 	南京	c=1 d=1 t=22057
nang 	囊	c=1 d=1 t=4401
nao 	脑	c=2 d=1 t=12104
nao 	闹	c=5 d=1.90937 t=19973
nao ke 	脑壳	c=1 d=1 t=28686
nao shi 	闹事	c=1 d=1 t=12192
nao zi 	脑子	c=1 d=1 t=6687
ne 	呢	c=2 d=1.36106 t=31502
ne chu 	呢出	c=1 d=0.600496 t=31502
ne ge 	呢个	c=0 d=0.1 t=25824
ne neng 	呢能	c=2 d=1 t=25826
ne wo 	呢我	c=1 d=1 t=26482
nei 	内	c=18 d=1.61465 t=21939
nei bu 	内部	c=9 d=1.00005 t=28464
nei cun 	内存	c=7 d=1.94176 t=21318
nei fen mi 	内分泌	c=1 d=1 t=9619
nei ku 	内裤	c=1 d=1 t=5463
nei rong 	内容	c=5 d=0.316637 t=31502
nei ru 	内入	c=1 d=1 t=18307
nei wang 	内网	c=1 d=1 t=19824
neng 	能	c=99 d=0.00454206 t=31502
neng bang 	能帮	c=1 d=1 t=12119
neng bu neng 	能不能	c=5 d=1.00625 t=12722
neng fa 	能发	c=1 d=1 t=20554
neng gan 	能干	c=1 d=1 t=25927
neng li 	能力	c=3 d=1 t=24415
neng piao 	能票	c=1 d=1 t=27481
neng yong 	能用	c=2 d=1 t=26702
ni 	你	c=501 d=2.80297 t=31502
ni 	呢	c=34 d=1.00083 t=31446
ni kuai 	你快	c=1 d=1 t=23865
ni m 	你呒	c=2 d=1 t=18227
ni men 	你们	c=40 d=1.00269 t=30131
ni zhe 	呢这	c=1 d=1 t=7883
nian 	年	c=13 d=0.532264 t=31502
nian 	念	c=1 d=1 t=31177
nian dai 	年代	c=1 d=1 t=12215
nian di 	年底	c=1 d=0.0131675 t=31502
nian fen 	年份	c=1 d=1 t=22742
nian jian 	年检	c=2 d=1.38674 t=13474
nian ling 	年龄	c=1 d=1 t=28172
nian nian 	年年	c=1 d=1 t=10679
nian nian bu wang 	念念不忘	c=1 d=1 t=10680
nian qing 	年轻	c=2 d=1 t=30389
nian qing ren 	年轻人	c=1 d=1 t=20345
niang 	酿	c=1 d=1 t=4399
niao 	鸟	c=1 d=1 t=4398
niao niao 	尿尿	c=1 d=1 t=28885
nin 	您	c=3 d=1.99005 t=22831
ning 	拧	c=1 d=1 t=12336
ning yuan 	宁愿	c=1 d=0.0232837 t=31502
niu 	牛	c=4 d=1 t=25931
niu zhuan 	扭转	c=2 d=1 t=6422
nong 	侬	c=1 d=1 t=4678
nong 	农	c=1 d=1 t=23864
nong 	弄	c=67 d=1.0013 t=30266
nong guo 	弄过	c=1 d=1 t=10927
nong tian 	农田	c=0 d=0.1 t=2938
nong wan 	弄完	c=3 d=1.00001 t=20652
nu 	怒	c=1 d=1 t=25820
nu li 	努力	c=3 d=1.956 t=24700
nuan 	暖	c=14 d=1 t=30247
nuo 	挪	c=1 d=1 t=2078
nuo 	诺	c=1 d=1 t=4407
nuo dao 	挪到	c=4 d=1 t=30965
nuo xia 	挪下	c=1 d=1 t=12712
nv 	女	c=1 d=1 t=11681
nv ren 	女人	c=1 d=0.0250972 t=31502
o 	哦	c=113 d=3.93253 t=30889
o o 	哦哦	c=6 d=2.28032 t=20874
ou 	偶	c=1 d=0.327915 t=31502
ou 	欧	c=10 d=1 t=29442
ou er 	偶尔	c=1 d=1 t=23280
ou mei 	欧美	c=1 d=1 t=3107
pa 	怕	c=4 d=1.90085 t=12073
pa 	爬	c=5 d=1 t=25347
pa 	葩	c=1 d=1 t=19607
pa dao 	爬到	c=1 d=1 t=27832
pa nai 	怕耐	c=1 d=1 t=22025
pa ri zha 	怕日炸	c=1 d=1 t=19371
pa shan 	爬山	c=1 d=1 t=25030
pai 	拍	c=4 d=1 t=30844
pai 	排	c=3 d=0.0374406 t=31502
pai cha 	排查	c=2 d=1.00001 t=13668
pai chu 	排除	c=4 d=0.0515605 t=31502
pai dui 	排队	c=1 d=1 t=5389
pai ge zhao 	拍个照	c=1 d=0.00331267 t=31502
pai xu 	排序	c=2 d=1 t=7422
pai zhao 	拍照	c=2 d=1 t=29307
pai zi 	牌子	c=2 d=1 t=29184
pan 	盘	c=1 d=1 t=4408
pan duan 	判断	c=12 d=1 t=30391
pang zi 	胖子	c=28 d=1.00946 t=31283
pao 	泡	c=2 d=1 t=29320
pao 	跑	c=15 d=0.307279 t=31502
pao bu 	跑步	c=1 d=1 t=4702
pao chu 	抛出	c=1 d=1 t=12540
pao guo qu 	跑过去	c=1 d=0.0227089 t=31502
pei 	配	c=7 d=1.61263 t=24410
pei bei 	配备	c=1 d=1 t=12655
pei fu 	佩服	c=1 d=1 t=492
pei li dao qian 	赔礼道歉	c=1 d=1 t=12094
pei xun 	培训	c=2 d=1.98511 t=22718
pei yang 	培养	c=3 d=2.92654 t=24421
pei zhe 	陪着	c=1 d=1 t=11313
pei zhi 	配置	c=56 d=1.6293 t=31502
pen 	喷	c=1 d=1 t=4412
peng dao 	碰到	c=1 d=1 t=29334
peng you 	朋友	c=2 d=1 t=11682
peng zi 	碰自	c=1 d=1 t=21336
pi 	屁	c=1 d=1 t=12054
pi fu 	皮肤	c=2 d=0.00497319 t=31502
pi jiu 	啤酒	c=1 d=1 t=25932
pi pei 	匹配	c=3 d=0.0814647 t=31502
pi pei xiang 	匹配项	c=1 d=0.818731 t=31502
pian 	片	c=1 d=1 t=12571
pian 	篇	c=5 d=0.609571 t=31502
pian 	骗	c=2 d=1 t=17732
pian duo 	偏多	c=1 d=0.0735345 t=31502
pian fu 	篇幅	c=1 d=0.079659 t=31502
pian yi 	便宜	c=5 d=1 t=29247
pian yuan 	偏远	c=1 d=0.0285814 t=31502
piao 	票	c=27 d=0.0283261 t=31502
piao 	飘	c=2 d=1.00001 t=4411
piao hao 	票好	c=3 d=1.27455 t=8878
piao liang 	漂亮	c=1 d=1 t=4957
pin 	品	c=1 d=1 t=2045
pin 	拼	c=5 d=0.99005 t=31502
pin fan 	频繁	c=2 d=0.932394 t=31502
pin jie 	拼接	c=2 d=1.89137 t=10313
pin lv 	频率	c=1 d=0.463013 t=31502
pin xing 	品行	c=2 d=1.89137 t=24370
pin zhi 	品质	c=1 d=1 t=3378
ping 	屏	c=6 d=1.9663 t=30794
ping 	平	c=6 d=1.00004 t=26432
ping an 	平安	c=2 d=0.0384432 t=31502
ping bi 	屏蔽	c=3 d=1 t=24650
ping ce 	评测	c=4 d=1.23592 t=27328
ping deng 	平等	c=2 d=1.98511 t=24401
ping fang 	平方	c=1 d=1 t=17914
ping fen 	平分	c=1 d=1 t=3899
ping fen 	评分	c=2 d=1 t=15253
ping gu 	评估	c=1 d=1 t=28586
ping guo 	苹果	c=2 d=1.93707 t=2170
ping heng 	平衡	c=2 d=1 t=24402
ping jia 	评价	c=1 d=1 t=9326
ping lun 	评论	c=4 d=2.92745 t=18391
ping mu 	屏幕	c=1 d=1 t=27756
ping ping an an 	平平安安	c=1 d=1 t=5296
ping shen 	评审	c=1 d=1 t=27231
ping shi 	平时	c=2 d=1.97531 t=13824
ping tai 	平台	c=9 d=1.00551 t=28719
ping zheng 	凭证	c=3 d=1.40916 t=26699
po 	婆	c=1 d=1 t=3436
po bu de yi 	迫不得已	c=1 d=1 t=19187
pu 	浦	c=2 d=1.87372 t=9313
pu dong 	浦东	c=1 d=1 t=26783
pu gong ying 	蒲公英	c=1 d=1 t=15597
qi 	其	c=1 d=1 t=9710
qi 	器	c=7 d=1 t=30820
qi 	奇	c=2 d=1 t=19606
qi 	气	c=5 d=2.26299 t=27210
qi 	起	c=1 d=1 t=6794
qi 	骑	c=2 d=1.09301 t=8903
qi che 	汽车	c=2 d=1 t=31285
qi chuang 	起床	c=4 d=0.974367 t=31502
qi dong 	启动	c=5 d=1.00307 t=26537
qi fen 	气氛	c=1 d=1 t=24535
qi guai 	奇怪	c=4 d=1 t=25995
qi hou 	其后	c=1 d=1 t=28608
qi lai 	起来	c=13 d=0.279431 t=31502
qi le 	齐了	c=2 d=1 t=17106
qi nang 	气囊	c=1 d=1 t=26935
qi nv 	妻女	c=2 d=1.97045 t=19744
qi pa 	凄怕	c=1 d=1 t=19605
qi pa 	器怕	c=1 d=1 t=19604
qi pian 	欺骗	c=1 d=1 t=19603
qi qi 	七七	c=2 d=1.33287 t=19040
qi shi 	其实	c=12 d=0.398519 t=31502
qi si 	气死	c=2 d=1.956 t=16032
qi ta 	其他	c=50 d=0.865022 t=31502
qi wang 	期望	c=1 d=1 t=24441
qi xue 	气血	c=1 d=1 t=18786
qi ye 	企业	c=20 d=1 t=23670
qi yi 	奇异	c=1 d=1 t=26023
qi yin 	起因	c=1 d=1 t=24491
qi yong 	启用	c=1 d=1 t=25457
qi zhong 	七种	c=1 d=1 t=5474
qian 	前	c=7 d=0.0804596 t=31502
qian 	签	c=4 d=1 t=21897
qian 	钱	c=18 d=1.0109 t=30153
qian chu 	迁出	c=1 d=1 t=9158
qian duan 	前端	c=44 d=1.5599 t=30071
qian hou 	前后	c=9 d=1.02556 t=14603
qian ji tian 	前几天	c=1 d=1 t=8766
qian jin 	前进	c=1 d=0.826959 t=31502
qian m 	钱呒	c=1 d=1 t=30989
qian mian 	前面	c=3 d=1 t=30990
qian ru 	嵌入	c=1 d=1 t=25420
qian she 	牵涉	c=2 d=0.316055 t=31502
qian tai 	前台	c=40 d=1.00115 t=31398
qian tai de 	前台的	c=1 d=1 t=4005
qian tao 	嵌套	c=1 d=1 t=15268
qian yi 	迁移	c=2 d=1 t=22410
qian zhang 	签章	c=1 d=1 t=6042
qian zheng 	签证	c=1 d=1 t=10757
qian zhui 	前缀	c=1 d=1 t=1796
qian zi 	签字	c=1 d=1 t=14908
qiang 	墙	c=3 d=1 t=23086
qiang 	强	c=2 d=1 t=26993
qiang 	腔	c=1 d=1 t=18210
qiang li 	强力	c=1 d=1 t=456
qiang po zheng 	强迫症	c=1 d=1 t=30708
qiang xing 	强行	c=1 d=1 t=19044
qiang zhu 	抢注	c=1 d=1 t=20432
qiao 	巧	c=2 d=1.99501 t=17544
qiao 	敲	c=1 d=1 t=17542
qiao qiao 	悄悄	c=1 d=1 t=27297
qie 	且	c=1 d=1 t=22862
qie 	切	c=6 d=0.606531 t=31502
qie huan 	切换	c=12 d=3.10083 t=31502
qie tu 	切图	c=1 d=1 t=25495
qin wang 	亲王	c=1 d=0.0765355 t=31502
qing 	清	c=4 d=1 t=26798
qing 	请	c=18 d=1.99501 t=31337
qing 	青	c=1 d=0.125556 t=31502
qing bai 	清白	c=1 d=1 t=15473
qing chu 	清楚	c=5 d=1 t=24596
qing dan 	清淡	c=1 d=1 t=27979
qing dao 	请到	c=1 d=1 t=6565
qing jia 	请假	c=2 d=1 t=31335
qing jiao 	请教	c=1 d=1 t=20314
qing jie 	清洁	c=1 d=1 t=9291
qing ke 	请客	c=1 d=1 t=3838
qing kong 	清空	c=1 d=1 t=20814
qing kuang 	情况	c=10 d=0.0383884 t=31502
qing li 	清理	c=4 d=1 t=11111
qing qiu 	请求	c=12 d=1.00001 t=31236
qing shuang 	清爽	c=1 d=1 t=29055
qing xi 	清洗	c=1 d=0.00298248 t=31502
qing xu 	情绪	c=1 d=0.0403566 t=31502
qiu 	求	c=5 d=2.95551 t=25256
qiu 	球	c=1 d=0.0165727 t=31502
qiu zhi 	求职	c=1 d=1 t=20450
qiu zhu 	求助	c=2 d=1.96079 t=25254
qu 	区	c=8 d=0.767906 t=31502
qu 	去	c=69 d=0.400593 t=31502
qu 	取	c=16 d=3.35968 t=29915
qu 	曲	c=3 d=2.14389 t=11147
qu an 	去按	c=1 d=1 t=8275
qu bie 	区别	c=4 d=1.01099 t=18304
qu chu 	去除	c=4 d=1 t=13749
qu dao 	取到	c=1 d=1 t=29783
qu dao 	渠道	c=1 d=1 t=24553
qu diao 	去掉	c=4 d=1 t=29011
qu dong 	驱动	c=1 d=0.00704808 t=31502
qu jie 	曲解	c=1 d=1 t=6501
qu shi 	趋势	c=3 d=2.81058 t=4430
qu wei 	趣味	c=0 d=0.0554327 t=31502
qu wei shi zu 	趣味十足	c=1 d=0.557106 t=31502
qu xia 	取下	c=4 d=1 t=21675
qu xiao 	取消	c=21 d=0.897447 t=31502
qu ye 	去也	c=1 d=1 t=23669
qu yu 	区域	c=1 d=1 t=19455
quan 	全	c=4 d=1.00219 t=20681
quan 	劝	c=1 d=1 t=27625
quan 	权	c=4 d=1.1437 t=29976
quan bu 	全部	c=8 d=1.42898 t=31502
quan fu 	全副	c=1 d=1 t=22971
quan ju 	全局	c=9 d=1 t=23091
quan li 	权力	c=1 d=1 t=16602
quan ren 	权人	c=1 d=1 t=31390
quan shi 	全市	c=2 d=1 t=21398
quan xian 	权限	c=2 d=1.77492 t=8133
quan zhe 	全这	c=1 d=1 t=18793
que 	却	c=1 d=0.14808 t=31502
que 	确	c=3 d=1.00005 t=26446
que 	缺	c=3 d=1 t=13783
que 	雀	c=2 d=1.69768 t=26563
que ding 	确定	c=10 d=1.52839 t=30713
que he 	确和	c=1 d=1 t=31147
que ren 	确认	c=23 d=3.75047 t=31394
que shi 	确实	c=7 d=1.00026 t=24467
qun 	群	c=13 d=1.75201 t=26054
qun li 	群里	c=2 d=1 t=23222
ran 	然	c=2 d=1 t=24704
ran er 	然而	c=4 d=1.94649 t=24570
ran hou 	然后	c=3 d=0.0793941 t=31502
ran qi 	燃气	c=1 d=0.353455 t=31502
rang 	让	c=20 d=1.00013 t=29294
rang ta 	让他	c=2 d=1 t=27470
rao 	绕	c=2 d=1.98511 t=29865
re 	热	c=1 d=1 t=15503
re ai 	热爱	c=1 d=1 t=5364
re dian 	热点	c=1 d=1 t=20504
re fei 	热非	c=1 d=1 t=31275
re hu 	热湖	c=2 d=1.9802 t=16965
re tu 	热土	c=1 d=1 t=21100
ren 	人	c=55 d=2.04475 t=31502
ren 	任	c=1 d=1 t=13389
ren 	认	c=2 d=1.76721 t=22945
ren cai 	人才	c=1 d=1 t=18387
ren he 	任何	c=1 d=1 t=19443
ren he shi 	人和事	c=1 d=1 t=19442
ren jia 	人家	c=1 d=1 t=18623
ren ke 	认可	c=1 d=0.00386807 t=31502
ren lei 	人类	c=1 d=1 t=24444
ren mai 	人脉	c=1 d=1 t=12784
ren ren 	人人	c=2 d=1.99005 t=14324
ren sheng 	人生	c=1 d=0.00726273 t=31502
ren shou 	忍受	c=1 d=0.0029528 t=31502
ren ti 	人体	c=1 d=1 t=18660
ren wu 	人物	c=1 d=0.0953692 t=31502
ren wu 	任务	c=31 d=1 t=31276
ren xia 	人下	c=1 d=1 t=22885
ren xing 	人性	c=1 d=1 t=27336
ren yuan 	人员	c=1 d=1 t=23730
ren zheng 	认证	c=4 d=0.4278 t=31502
ren zhi 	认知	c=4 d=1.73712 t=24817
reng 	仍	c=1 d=1 t=31149
reng huo 	仍或	c=1 d=1 t=22853
reng o 	仍哦	c=1 d=1 t=22854
reng wu 	仍误	c=1 d=1 t=2413
ri 	日	c=13 d=1.00001 t=31334
ri chang 	日常	c=2 d=0.386741 t=31502
ri ju 	日剧	c=1 d=0.0212797 t=31502
ri li 	日历	c=7 d=1 t=24261
ri qi 	日期	c=3 d=1 t=14508
ri shi 	日式	c=1 d=1 t=24372
ri yu 	日语	c=1 d=0.0217096 t=31502
ri zhi 	日志	c=15 d=1.99501 t=24265
ri zi 	日子	c=1 d=1 t=10028
rong qi 	容器	c=11 d=0.0507203 t=31502
rong ru 	融入	c=1 d=0.100761 t=31502
rong yi 	容易	c=4 d=0.00339653 t=31502
rong zai 	容灾	c=1 d=1 t=7381
rou 	肉	c=2 d=1.00157 t=5688
rou rou 	揉揉	c=1 d=1 t=16537
ru 	儒	c=2 d=1.0115 t=25690
ru 	入	c=3 d=0.23457 t=31502
ru ci 	如此	c=1 d=0.00166156 t=31502
ru guo 	如果	c=25 d=0.619751 t=31502
ru he 	如何	c=11 d=1.14874 t=31502
ru jing 	入境	c=1 d=1 t=22118
ru kuai 	入快	c=1 d=1 t=20726
ru mi 	入迷	c=2 d=1.99501 t=28104
ru xia 	如下	c=1 d=1 t=17431
ru zhi 	入职	c=1 d=1 t=2747
ruan 	阮	c=2 d=1.02182 t=16034
ruan jian 	软件	c=3 d=1 t=20670
rui 	睿	c=1 d=0.1 t=24158
ruo 	若	c=1 d=1 t=22855
sa 	仨	c=13 d=1.77886 t=30693
sa 	撒	c=2 d=1.47001 t=4436
sa a 	仨阿	c=1 d=1 t=30697
sa den 	仨扽	c=1 d=1 t=27515
sa feng 	仨峰	c=2 d=1 t=30698
sai 	噻	c=12 d=1.99043 t=30682
sai 	塞	c=2 d=1.99005 t=19047
sai 	赛	c=5 d=1.85268 t=31502
sai den sen 	赛扽森	c=1 d=1 t=67
sai dong 	噻动	c=1 d=1 t=30331
sai fa 	噻发	c=3 d=1.03337 t=31402
sai fa fa 	噻发发	c=1 d=1 t=30691
sai fa sen 	噻发森	c=1 d=1 t=30695
sai fa sen a 	噻发森阿	c=1 d=1 t=30318
sai fan sa 	噻烦仨	c=1 d=1 t=30689
sai fang 	噻放	c=1 d=1 t=609
sai ji 	赛季	c=1 d=0.923116 t=31502
sai sa 	赛撒	c=1 d=1 t=5597
sai sai a 	赛赛阿	c=1 d=1 t=5582
sai sen dong fang 	赛森东方	c=1 d=0.960789 t=31502
sai sen sen 	赛森森	c=1 d=1 t=10175
san 	三	c=33 d=2.88015 t=30690
san 	散	c=2 d=1 t=16037
san da 	三大	c=1 d=1 t=6461
san fang 	三方	c=0 d=0.1 t=14623
san fang sai 	三方赛	c=1 d=1 t=14624
san ge 	三个	c=4 d=1 t=18556
san huo 	散伙	c=1 d=1 t=11059
san ke 	散客	c=6 d=1 t=30447
san mu 	三目	c=1 d=1 t=4610
san ti 	三体	c=1 d=1 t=28116
san tian 	三天	c=1 d=1 t=28101
san wu nian 	三五年	c=2 d=1.96561 t=30639
san zhi 	三指	c=1 d=1 t=128
san zhong 	三种	c=1 d=0.00543443 t=31502
sang 	桑	c=1 d=1.01456 t=31502
sang chen 	桑陈	c=1 d=0.129827 t=2390
sang en ge 	桑嗯个	c=1 d=1 t=1770
sang shi 	磉是	c=1 d=0.965605 t=31502
sang shuan shen ai 	桑栓深爱	c=1 d=0.923116 t=31502
sang shuan shi 	桑栓是	c=1 d=0.937067 t=31502
sao 	骚	c=2 d=1.00082 t=13313
sao ma 	扫码	c=1 d=1 t=22869
sao mang 	扫盲	c=1 d=1 t=28972
sao zi 	嫂子	c=1 d=1 t=17893
se 	色	c=5 d=1 t=30066
se ji 	色机	c=1 d=1 t=27741
se rui chao e 	色睿超额	c=1 d=1 t=24159
se zhi 	色值	c=1 d=1 t=16765
sen 	森	c=5 d=2.01449 t=31502
sen sen 	森森	c=0 d=0.1 t=10174
sha 	傻	c=1 d=0.965605 t=31502
sha 	啥	c=86 d=1.01083 t=31502
sha 	沙	c=1 d=1 t=11810
sha che 	刹车	c=1 d=1 t=27024
sha fa 	沙发	c=2 d=1 t=19833
sha jun 	杀菌	c=1 d=1 t=457
sha kan 	啥看	c=1 d=1 t=15546
sha shi hou 	啥时候	c=4 d=1.00085 t=29351
sha zi 	啥子	c=3 d=1.13266 t=21273
shai 	晒	c=1 d=1 t=459
shai xuan 	筛选	c=1 d=1 t=17428
shan 	删	c=16 d=1.00066 t=29216
shan 	善	c=1 d=1 t=14517
shan 	山	c=3 d=1.97531 t=8500
shan chu 	删除	c=3 d=1 t=29360
shan diao 	删掉	c=3 d=1 t=31119
shan gai 	删改	c=1 d=1 t=22483
shan tou 	汕头	c=1 d=1 t=29380
shan yu yu lai 	山雨欲来	c=1 d=0.140156 t=31502
shang 	上	c=130 d=1.13852 t=31396
shang 	伤	c=3 d=1 t=18488
shang 	商	c=3 d=1 t=26692
shang an 	上岸	c=1 d=1 t=25442
shang ban 	上班	c=15 d=1.00142 t=28560
shang ban nian 	上半年	c=1 d=1 t=24242
shang bao 	上报	c=17 d=1.20119 t=14186
shang ceng 	上层	c=1 d=1 t=7267
shang chu 	上出	c=1 d=1 t=26845
shang chuan 	上传	c=14 d=1.11207 t=27734
shang ci 	上次	c=11 d=1.65706 t=29315
shang cuan 	上窜	c=1 d=1 t=26694
shang dang 	上当	c=1 d=1 t=10004
shang de 	上的	c=1 d=1 t=28561
shang dian 	商店	c=1 d=1 t=27326
shang ge 	上个	c=0 d=0.1 t=12086
shang ge ban 	上个班	c=1 d=1 t=12087
shang hai 	上海	c=2 d=1.00011 t=26777
shang hai 	伤害	c=4 d=1 t=16660
shang hang 	商行	c=1 d=1 t=17383
shang huo 	上火	c=1 d=1 t=18205
shang ji 	上级	c=1 d=1 t=19576
shang ke 	上课	c=4 d=1 t=23944
shang la 	上拉	c=2 d=1.49907 t=27726
shang liang 	商量	c=6 d=0.00209124 t=31502
shang m 	上呒	c=1 d=1 t=17162
shang mian 	上面	c=17 d=0.548812 t=31502
shang ming 	上名	c=1 d=1 t=16740
shang pin 	商品	c=3 d=1 t=28525
shang po 	上坡	c=1 d=1 t=26948
shang qu 	上去	c=9 d=1.0043 t=31278
shang shi 	上市	c=2 d=1 t=26820
shang tao 	商讨	c=1 d=1 t=31397
shang wei 	尚未	c=1 d=0.0330412 t=31502
shang wu 	上午	c=8 d=1 t=28778
shang xia 	上下	c=1 d=1 t=29434
shang xian 	上线	c=4 d=1 t=27961
shang xiang 	上向	c=1 d=1 t=11036
shang ya 	伤牙	c=1 d=1 t=9257
shang ye 	商业	c=2 d=1 t=9546
shang yi ci 	上一次	c=1 d=1 t=22546
shang yong 	商用	c=1 d=1 t=30400
shang you 	上游	c=3 d=1.01965 t=18159
shang yue 	上月	c=1 d=1 t=25763
shang zhou 	上周	c=11 d=1.00326 t=28340
shang zhuan 	上转	c=1 d=1 t=26508
shao 	少	c=18 d=3.44091 t=26392
shao 	烧	c=1 d=1 t=17453
shao bu fen 	少部分	c=1 d=0.00382958 t=31502
shao hou 	稍后	c=1 d=1 t=8600
shao nian 	少年	c=1 d=1 t=22296
shao wei 	稍微	c=1 d=0.477114 t=31502
shao yong 	少用	c=2 d=1 t=30401
shao zhi 	烧制	c=1 d=1 t=29314
she 	设	c=4 d=1 t=27650
she bao 	社保	c=1 d=1 t=4229
she bei 	设备	c=1 d=1 t=15385
she hui 	社会	c=7 d=4.54222 t=24686
she ji 	涉及	c=1 d=1 t=21138
she ji 	设计	c=38 d=2.64224 t=31166
she ji gao 	设计搞	c=3 d=1 t=26218
she ji gu 	设计骨	c=1 d=1 t=13487
she qu 	社区	c=1 d=0.0475963 t=31502
she shi 	设施	c=1 d=0.0328764 t=31502
she tou 	舌头	c=2 d=1.98511 t=18207
she zhi 	设置	c=29 d=2.94721 t=31502
shen 	慎	c=1 d=1 t=23271
shen 	深	c=4 d=1.11418 t=27203
shen 	甚	c=1 d=1 t=24724
shen 	神	c=2 d=1 t=27637
shen 	身	c=6 d=1 t=30006
shen ai 	深爱	c=0 d=0.0918512 t=31502
shen chao 	慎抄	c=1 d=1 t=23656
shen fen 	身份	c=10 d=1.00069 t=27007
shen fen zheng 	身份证	c=2 d=1.00237 t=5827
shen he 	审核	c=3 d=1.2752 t=31502
shen ji 	审计	c=2 d=1.01162 t=16930
shen ke 	深刻	c=1 d=0.0219278 t=31502
shen me 	什么	c=37 d=1.39207 t=31502
shen me shi hou 	什么时候	c=1 d=1 t=1819
shen pi 	审批	c=1 d=1 t=15744
shen qing 	申请	c=4 d=0.0196437 t=31502
shen ru 	深入	c=1 d=1 t=9157
shen shang 	身上	c=0 d=0.1 t=2272
shen shi 	审视	c=1 d=1 t=12325
shen ti 	身体	c=4 d=1 t=30147
shen tong 	神通	c=0 d=0.1 t=4007
shen xu 	肾虚	c=2 d=1 t=30893
shen yu 	身鱼	c=1 d=1 t=30536
shen zhang 	肾漳	c=1 d=1 t=29312
shen zhen 	深圳	c=15 d=1 t=31191
shen zhi 	甚至	c=3 d=2.4007 t=24714
sheng 	剩	c=1 d=1 t=1942
sheng 	升	c=2 d=1.39063 t=16880
sheng 	圣	c=1 d=1 t=18910
sheng 	声	c=1 d=1 t=30313
sheng 	生	c=13 d=1 t=27350
sheng 	省	c=7 d=1 t=23272
sheng chan 	生产	c=1 d=1 t=11247
sheng chen 	生辰	c=1 d=1 t=20715
sheng cheng 	生成	c=3 d=1 t=23663
sheng ci 	省次	c=1 d=1 t=12515
sheng de 	省得	c=2 d=1 t=22903
sheng dong 	生动	c=1 d=0.0925506 t=31502
sheng huo 	生活	c=9 d=0.865022 t=31502
sheng ji 	升级	c=9 d=0.225373 t=31502
sheng jiang 	升降	c=1 d=1 t=327
sheng li 	省力	c=1 d=1 t=4421
sheng ming 	声明	c=8 d=1.00001 t=20697
sheng ming 	生命	c=2 d=1 t=16146
sheng mu 	声母	c=1 d=1 t=2646
sheng qu 	省区	c=1 d=1 t=12396
sheng ri 	生日	c=1 d=1 t=10045
